, ,Label,Area,IntDen,RawIntDen,batch,stage,group,culture
13,14,MAX_w5c3-63xz-1.tif,0.716,43.646,4450.0,batch1031,d0,50micron,w5c3-seg2
14,15,MAX_w5c3-63xz-1.tif,0.775,45.528999999999996,4642.0,batch1031,d0,50micron,w5c3-seg2
15,16,MAX_w5c3-63xz-1.tif,1.285,104.28,10632.0,batch1031,d0,50micron,w5c3-seg2
16,17,MAX_w5c3-63xz-1.tif,1.6969999999999998,68.578,6992.0,batch1031,d0,50micron,w5c3-seg2
17,18,MAX_w5c3-63xz-1.tif,0.451,34.887,3557.0,batch1031,d0,50micron,w5c3-seg2
18,19,MAX_w5c3-63xz-1.tif,0.52,45.049,4593.0,batch1031,d0,50micron,w5c3-seg2
19,20,MAX_w5c3-63xz-1.tif,0.52,33.2,3385.0,batch1031,d0,50micron,w5c3-seg2
20,21,MAX_w5c3-63xz-1.tif,0.5,30.541999999999998,3114.0,batch1031,d0,50micron,w5c3-seg2
0,1,MAX_w5c3-63xz-2.tif,0.41200000000000003,43.254,4410.0,batch1031,d0,50micron,w5c3-seg3
1,2,MAX_w5c3-63xz-2.tif,0.647,68.333,6967.0,batch1031,d0,50micron,w5c3-seg3
2,3,MAX_w5c3-63xz-2.tif,0.804,70.138,7151.0,batch1031,d0,50micron,w5c3-seg3
3,4,MAX_w5c3-63xz-2.tif,0.785,40.811,4161.0,batch1031,d0,50micron,w5c3-seg3
4,5,MAX_w5c3-63xz-2.tif,0.353,32.298,3293.0,batch1031,d0,50micron,w5c3-seg3
5,6,MAX_w5c3-63xz-2.tif,0.736,43.754,4461.0,batch1031,d0,50micron,w5c3-seg3
6,7,MAX_w5c3-63xz-2.tif,0.588,86.351,8804.0,batch1031,d0,50micron,w5c3-seg3
7,8,MAX_w5c3-63xz-2.tif,0.912,53.533,5458.0,batch1031,d0,50micron,w5c3-seg3
8,9,MAX_w5c3-63xz-2.tif,1.03,62.38,6360.0,batch1031,d0,50micron,w5c3-seg3
9,10,MAX_w5c3-63xz-2.tif,0.588,45.853,4675.0,batch1031,d0,50micron,w5c3-seg3
10,11,MAX_w5c3-63xz-2.tif,0.5489999999999999,58.858000000000004,6001.0,batch1031,d0,50micron,w5c3-seg3
11,12,MAX_w5c3-63xz-2.tif,1.383,97.50200000000001,9941.0,batch1031,d0,50micron,w5c3-seg3
